TRANSPORT ALL
!Transport Data[dat]
!Title:   A comprehensive experimental and kinetic modeling study of n-[dat]
!Authors: Jianghuai Cai, Lidong Zhang, Feng Zhang, Zhandong Wang, Zhanj[dat]
!Address: National Synchrotron Radiation Laboratory, University of Scie[dat]
!################################ From USC Mech II#####################[dat]
C3H6O3             2   500.000     6.093     2.180     0.237     1.000
AR 0 136.5 3.33 0.0 0.0 0.0
N2 1 97.53 3.621 0.0 1.76 4.0
H 0 145.0 2.05 0.0 0.0 0.0
H2 1 38.0 2.92 0.0 0.79 280.0
!              C5H6               1   357.000     5.180     0.000     0.000     1.000[dat]
HE 0 10.2 2.576 0.0 0.0 0.0
O 0 80.0 2.75 0.0 0.0 0.0
OH 1 80.0 2.75 0.0 0.0 0.0
H2O 2 572.4 2.605 1.844 0.0 4.0
HO2 2 107.4 3.458 0.0 0.0 1.0
H2O2 2 107.4 3.458 0.0 0.0 3.8
O2 1 107.4 3.458 0.0 1.6 3.8
C 0 71.4 3.298 0.0 0.0 0.0
CH 1 80.0 2.75 0.0 0.0 0.0
CH2 1 144.0 3.8 0.0 0.0 0.0
CH2(S) 1 144.0 3.8 0.0 0.0 0.0
CH3 1 144.0 3.8 0.0 0.0 0.0
CH4 2 141.4 3.746 0.0 2.6 13.0
CO 1 98.1 3.65 0.0 1.95 1.8
CO2 1 244.0 3.763 0.0 2.65 2.1
HCO 2 498.0 3.59 0.0 0.0 0.0
CH2O 2 498.0 3.59 0.0 0.0 2.0
HCOH 2 498.0 3.59 0.0 0.0 1.0
CH2OH 2 417.0 3.69 1.7 0.0 2.0
CH3O 2 417.0 3.69 1.7 0.0 2.0
CH3OH 2 481.8 3.626 0.0 0.0 1.0
C2H 1 209.0 4.1 0.0 0.0 2.5
C2H2 1 209.0 4.1 0.0 0.0 2.5
H2CC 2 209.0 4.1 0.0 0.0 2.5
HCCOH 2 436.0 3.97 0.0 0.0 2.0
C2H3 2 209.0 4.1 0.0 0.0 1.0
C2H4 2 280.8 3.971 0.0 0.0 1.5
C2H5 2 252.3 4.302 0.0 0.0 1.5
C2H6 2 252.3 4.302 0.0 0.0 1.5
C2 1 97.53 3.621 0.0 1.76 4.0
C2O 1 232.4 3.828 0.0 0.0 1.0
HCCO 2 150.0 2.5 0.0 0.0 1.0
CH2CO 2 436.0 3.97 0.0 0.0 2.0
CH3CO 2 436.0 3.97 0.0 0.0 2.0
CH2CHO 2 436.0 3.97 0.0 0.0 2.0
CH3CHO 2 436.0 3.97 0.0 0.0 2.0
C2H5O 2 384.316 4.952 0.0 0.0 1.0
!#########################From 2011 Hansen _ Harper _ Green ###########[dat]
C2H3OH 2 384.335 4.927 0.0 0.0 1.0
HCCHOH 2 384.335 4.844 0.0 0.0 1.0
CH2COH 2 384.335 4.844 0.0 0.0 1.0
C3H3 2 252.0 4.76 0.0 0.0 1.0
!!NH3 combustion[dat]
N 0 71.4 3.298 0.0 0.0 0.0
! Lamoureux et al. 2016[dat]
NH 1 80.0 2.65 0.0 0.0 4.0
! Lamoureux et al. 2016[dat]
NH2 2 80.0 2.65 0.0 2.26 4.0
! Lamoureux et al. 2016[dat]
NH3 2 481.0 2.92 1.47 0.0 10.0
! Lamoureux et al. 2016[dat]
NNH 2 71.4 3.798 0.0 0.0 1.0
! Lamoureux et al. 2016[dat]
N2H2 2 71.4 3.798 0.0 0.0 1.0
! Coppens et al. 2007[dat]
N2H3 2 200.0 3.9 0.0 0.0 1.0
! Coppens et al. 2007[dat]
N2H4 2 205.0 4.23 0.0 4.26 1.5
! = N2H2[dat]
H2NN 2 71.4 3.798 0.0 0.0 1.0
! Lamoureux et al. 2016[dat]
NO 1 97.53 3.621 0.0 1.76 4.0
! Lamoureux et al. 2016[dat]
N2O 1 232.4 3.828 0.0 0.0 1.0
! Lamoureux et al. 2016[dat]
NO2 2 200.0 3.5 0.0 0.0 1.0
! Lamoureux et al. 2016[dat]
HNO 2 116.7 3.492 0.0 0.0 1.0
! Lamoureux et al. 2016[dat]
HON 2 116.7 3.492 0.0 0.0 1.0
! Lamoureux et al. 2016[dat]
